index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PUB,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
2167,The University of Montana,0.0,6877.0,0.9423,12776.0,0,0,0,1,0,0
2168,Montana State University-Northern,0.0,5163.0,1.0,14641.0,0,0,0,1,0,0
2186,University of Nebraska at Kearney,0.0,4509.0,0.8486,14313.0,0,0,0,1,0,0
2193,University of Nebraska at Omaha,0.0,6147.0,0.7078,12532.0,0,0,0,1,0,0
2198,University of Nebraska-Lincoln,0.0,8653.0,0.6404,16294.0,0,0,0,1,0,0
2216,University of Nevada-Las Vegas,0.0,6600.0,0.8512,11159.0,0,0,0,1,0,0
2217,University of Nevada-Reno,0.0,7552.0,0.8396,15207.0,0,0,0,1,0,0
2240,University of New Hampshire-Main Campus,0.0,12480.0,0.7779,23861.0,0,0,0,1,0,0
2241,Keene State College,0.0,11350.0,0.8185,20768.0,0,0,0,1,0,0
2243,Plymouth State University,0.0,11139.0,0.7748,19689.0,0,0,0,1,0,0
2289,Rowan University,0.0,9614.0,0.5923,21541.0,0,0,0,1,0,0
2296,New Jersey City University,0.0,7917.0,0.4129,10966.0,0,0,0,1,0,0
2298,Kean University,0.0,8190.0,0.8037,13997.0,0,0,0,1,0,0
2305,Montclair State University,0.0,8938.0,0.6532,19960.0,0,0,0,1,0,0
2312,New Jersey Institute of Technology,0.0,9933.0,0.6547,17467.0,0,0,0,1,0,0
2322,Ramapo College of New Jersey,0.0,9261.0,0.5526,19830.0,0,0,0,1,0,0
2326,Rutgers University-Camden,0.0,11973.0,0.5796,14324.0,0,0,0,1,0,0
2327,Rutgers University-New Brunswick,0.0,11793.0,0.5796,19770.0,0,0,0,1,0,0
2328,Rutgers University-Newark,0.0,12723.0,0.5796,12762.0,0,0,0,1,0,0
2338,The Richard Stockton College of New Jersey,0.0,6960.0,0.6211,20188.0,0,0,0,1,0,0
2342,The College of New Jersey,0.0,11663.0,0.4311,21976.0,0,0,0,1,0,0
2345,William Paterson University of New Jersey,0.0,9726.0,0.6811,15927.0,0,0,0,1,0,0
2352,Eastern New Mexico University-Main Campus,0.0,3199.0,0.6321,9410.0,0,0,0,1,0,0
2359,New Mexico Institute of Mining and Technology,0.0,5159.0,0.4136,10219.0,0,0,0,1,0,0
2361,University of New Mexico-Main Campus,0.0,5090.0,0.6458,8126.0,0,0,0,1,0,0
2365,New Mexico State University-Main Campus,0.0,4016.0,0.852,10158.0,0,0,0,1,0,0
2447,CUNY Bernard M Baruch College,0.0,6305.0,0.2483,6543.0,0,0,0,1,0,0
2450,CUNY Brooklyn College,0.0,4480.0,0.3198,5775.0,0,0,0,1,0,0
2451,College of Staten Island CUNY,0.0,3881.0,0.9975,7364.0,0,0,0,1,0,0
2452,CUNY City College,0.0,4376.0,0.341,5150.0,0,0,0,1,0,0
2455,CUNY Hunter College,0.0,5913.0,0.2972,6688.0,0,0,0,1,0,0
2456,CUNY John Jay College of Criminal Justice,0.0,3994.0,0.3405,5141.0,0,0,0,1,0,0
2459,CUNY Lehman College,0.0,4011.0,0.2328,4299.0,0,0,0,1,0,0
2462,CUNY Queens College,0.0,4899.0,0.3702,5527.0,0,0,0,1,0,0
2465,CUNY York College,0.0,3308.0,0.351,5380.0,0,0,0,1,0,0
2477,Fashion Institute of Technology,0.0,7681.0,0.4484,11466.0,0,0,0,1,0,0
2628,SUNY at Albany,0.0,5818.0,0.5545,15749.0,0,0,0,1,0,0
2629,SUNY at Binghamton,0.0,6701.0,0.4287,16541.0,0,0,0,1,0,0
2630,University at Buffalo,0.0,7732.0,0.5652,15088.0,0,0,0,1,0,0
2631,Stony Brook University,0.0,7339.0,0.3948,13438.0,0,0,0,1,0,0
2632,SUNY College of Environmental Science and Forestry,0.0,4726.0,0.5052,17408.0,0,0,0,1,0,0
2633,SUNY Institute of Technology at Utica-Rome,0.0,5228.0,0.4754,13076.0,0,0,0,1,0,0
2634,SUNY College at Brockport,0.0,4792.0,0.4774,14612.0,0,0,0,1,0,0
2635,Buffalo State SUNY,0.0,3990.0,0.4853,12079.0,0,0,0,1,0,0
2636,SUNY College at Cortland,0.0,5412.0,0.4683,17996.0,0,0,0,1,0,0
2637,SUNY at Fredonia,0.0,4932.0,0.5154,16628.0,0,0,0,1,0,0
2638,SUNY College at Geneseo,0.0,5356.0,0.4566,16902.0,0,0,0,1,0,0
2639,State University of New York at New Paltz,0.0,5708.0,0.4359,15479.0,0,0,0,1,0,0
2640,SUNY Oneonta,0.0,4624.0,0.5073,16385.0,0,0,0,1,0,0
2641,SUNY College at Oswego,0.0,4850.0,0.4863,16472.0,0,0,0,1,0,0
2642,SUNY College at Potsdam,0.0,4551.0,0.6837,14117.0,0,0,0,1,0,0
2643,SUNY at Purchase College,0.0,6128.0,0.3319,17470.0,0,0,0,1,0,0
2645,SUNY College at Old Westbury,0.0,4018.0,0.5804,8598.0,0,0,0,1,0,0
2646,SUNY College at Plattsburgh,0.0,5027.0,0.4564,14906.0,0,0,0,1,0,0
2648,SUNY Empire State College,0.0,4181.0,0.8053,13675.0,0,0,0,1,0,0
2649,SUNY Maritime College,0.0,6028.0,0.6396,17815.0,0,0,0,1,0,0
2692,Appalachian State University,0.0,5790.0,0.6323,12725.0,0,0,0,1,0,0
2722,East Carolina University,0.0,6563.0,0.6217,14059.0,0,0,0,1,0,0
2724,Elizabeth City State University,0.0,3357.0,0.5715,2035.0,0,0,0,1,0,0
2728,Fayetteville State University,0.0,3202.0,0.5496,5808.0,0,0,0,1,0,0
2767,North Carolina A & T State University,0.0,5098.0,0.6964,8379.0,0,0,0,1,0,0
2768,University of North Carolina at Asheville,0.0,6151.0,0.6403,11765.0,0,0,0,1,0,0
2769,University of North Carolina at Chapel Hill,0.0,11914.0,0.2759,13322.0,0,0,0,1,0,0
2770,University of North Carolina at Charlotte,0.0,7019.0,0.6852,12268.0,0,0,0,1,0,0
2771,University of North Carolina at Greensboro,0.0,5580.0,0.6002,11010.0,0,0,0,1,0,0
2772,North Carolina Central University,0.0,4987.0,0.5033,10214.0,0,0,0,1,0,0
2773,University of North Carolina School of the Arts,0.0,11470.0,0.4521,11759.0,0,0,0,1,0,0
2774,North Carolina State University at Raleigh,0.0,7952.0,0.5001,13164.0,0,0,0,1,0,0
2776,University of North Carolina Wilmington,0.0,7096.0,0.5419,13618.0,0,0,0,1,0,0
2779,University of North Carolina at Pembroke,0.0,3693.0,0.7204,10301.0,0,0,0,1,0,0
2819,Winston-Salem State University,0.0,4135.0,0.5565,8788.0,0,0,0,1,0,0
2820,Western Carolina University,0.0,5283.0,0.3766,12380.0,0,0,0,1,0,0
2834,Minot State University,0.0,4815.0,0.5662,10584.0,0,0,0,1,0,0
2836,University of North Dakota,0.0,9376.0,0.737,16931.0,0,0,0,1,0,0
2839,North Dakota State University-Main Campus,0.0,7681.0,0.841,14404.0,0,0,0,1,0,0
2846,Valley City State University,0.0,5331.0,0.829,11664.0,0,0,0,1,0,0
